300 - kitchen - 234
301 - finally - 232
302 - waiting - 232
303 - darkness - 230
304 - hagrid’s - 229
305 - returned - 229
306 - parents - 228
307 - beneath - 228
308 - shook - 227
309 - above - 227
310 - dropped - 227
311 - spoke - 227
312 - lying - 226
313 - least - 226
314 - witch - 224
315 - noticed - 224
316 - tonks - 224
317 - golden - 223
318 - leaving - 223
319 - noise - 223
320 - times - 222
321 - master - 222
322 - stairs - 221
323 - whose - 221
324 - matter - 221
325 - dursleys - 220
326 - glass - 219
327 - listen - 218
328 - steps - 218
329 - draco - 218
330 - crabbe - 218
331 - friends - 217
332 - finished - 216
333 - curse - 216
334 - instead - 216
335 - entered - 216
336 - looks - 215
337 - doors - 214
338 - burst - 214
339 - goyle - 214
340 - invisibility - 212
341 - trouble - 211
342 - grounds - 211
343 - ceiling - 211
344 - bagman - 211
345 - number - 209
346 - christmas - 209
347 - clear - 209
348 - realized - 208
349 - running - 208
350 - ready - 207
351 - within - 207
352 - staircase - 207
353 - threw - 206
354 - managed - 206
355 - arrived - 206
356 - trelawney - 206
357 - start - 205
358 - lockhart - 205
359 - person - 204
360 - short - 203
361 - fleur - 203
362 - stuff - 202
363 - thick - 202
364 - chance - 201
365 - heads - 201
366 - pocket - 201
367 - stand - 201
368 - except - 201
369 - evening - 200
370 - vanished - 199
371 - became - 198
372 - glasses - 197
373 - chest - 197
374 - walls - 197
375 - happy - 196
376 - glanced - 196
377 - longer - 195
378 - wands - 195
379 - walking - 194
380 - seconds - 193
381 - stupid - 193
382 - seized - 192
383 - pulling - 192
384 - match - 192
385 - known - 191
386 - spell - 191
387 - snape’s - 191
388 - enormous - 190
389 - snake - 190
390 - killed - 189
391 - trunk - 189
392 - knows - 189
393 - tonight - 188
394 - below - 187
395 - completely - 186
396 - expression - 186
397 - friend - 186
398 - flying - 186
399 - memory - 184
400 - smiling - 184
401 - angry - 184
402 - herself - 183
403 - probably - 183
404 - clearly - 182
405 - listening - 182
406 - angrily - 181
407 - barely - 180
408 - indeed - 179
409 - broom - 179
410 - broke - 179
411 - broken - 178
412 - suppose - 178
413 - thanks - 177
414 - return - 177
415 - tears - 177
416 - windows - 177
417 - portrait - 177
418 - sword - 177
419 - potions - 176
420 - trees - 176
421 - albus - 176
422 - james - 175
423 - apparently - 175
424 - muggles - 174
425 - dangerous - 174
426 - nodded - 174
427 - lesson - 174
428 - meant - 173
429 - woman - 172
430 - backward - 172
431 - tower - 172
432 - question - 172
433 - snitch - 171
434 - giving - 170
435 - reckon - 170
436 - horrible - 169
437 - forced - 168
438 - hidden - 168
439 - ahead - 168
440 - round - 167
441 - charm - 167
442 - bellatrix - 167
443 - hours - 166
444 - laugh - 166
445 - seamus - 166
446 - young - 166
447 - ought - 166
448 - hardly - 164
449 - defense - 164
450 - important - 164
451 - prophet - 163
452 - story - 163
453 - wormtail - 163
454 - cauldron - 162
455 - third - 162
456 - snapped - 162
457 - train - 162
458 - quiet - 162
459 - stepped - 162
460 - thank - 162
461 - during - 161
462 - repeated - 161
463 - eater - 161
464 - wizarding - 160
465 - middle - 160
466 - happen - 160
467 - brought - 159
468 - yourself - 159
469 - different - 159
470 - funny - 158
471 - who’s - 158
472 - they’ve - 158
473 - points - 158
474 - peeves - 158
475 - pushed - 157
476 - hedwig - 157
477 - bright - 157
478 - carrying - 157
479 - crookshanks - 157
480 - possible - 156
481 - aren’t - 156
482 - worse - 156
483 - sounded - 156
484 - faces - 156
485 - silent - 156
486 - hundred - 155
487 - covered - 155
488 - couple - 155
489 - roared - 154
490 - expect - 154
491 - creatures - 154
492 - laughed - 153
